item_name,dur,pitch,energy,gender,emotion,spk,txt,style_prompt
ex01_sad_00127,a,a,a,a,a,a,"Hey let's watch the mouth huh?","A male speaker addresses the listeners using a high pitch and speaking at a regular speaking pace with a"
ex01_happy_00127.wav,a,a,a,a,a,a,"Hey let's watch the mouth huh?","A male speaker's speech, at a regular speed, reflects a contagious sense of high energy."
ex01_enunciated_00127.wav,a,a,a,a,a,a,"Hey let's watch the mouth huh?","Despite her loudness, her speaking tone remains unaffectedWith a normal pitch, she spoke"
ex01_confused_00127.wav,a,a,a,a,a,a,"Hey let's watch the mouth huh?","With average energy and tone, she shares her ideasA girl's high pitch harmonizes"
ex01_laughing_00040.wav,a,a,a,a,a,a,"<laugh> I wonder who that could be huh? <breath>","A speaker of the startled male gender communicates with others, speaking at a regular pace with moderate energy"
ex01_sad_00043.wav,a,a,a,a,a,a,"Oh my God it's so crazy.","The man's high-pitched voice contributes to the high-pitched quality of his speech"
ex01_confused_00043.wav,a,a,a,a,a,a,"Oh my God it's so crazy.","A dazed man with a regular pitch speaks slowly, reflecting low energySlow-paced"
ex01_enunciated_00043.wav,a,a,a,a,a,a,"Oh my God it's so crazy.","Slow speech combined with vibrant energy defines her mad styleShe spoke with a very high energy"
ex01_laughing_00043.wav,a,a,a,a,a,a,"Oh my God it's so crazy. <laugh>","Her voice radiates high energy as she speaksWith a high pitch and deliberate pace"
ex01_whisper_00043.wav,a,a,a,a,a,a,"Oh my God it's so crazy.","The girl's speech was unhurried, her tone high-pitched and energy low."
ex01_sad_00091.wav,a,a,a,a,a,a,"Yeah I feel comfortable around people.","Speaking quickly yet with a hint of regular energy, the male speaker uses a high-pitched"
ex01_whisper_00091.wav,a,a,a,a,a,a,"Yeah I feel comfortable around people.","She speaks in a subdued manner, her pitch highA woman's voice lacks energy"
ex01_confused_00091.wav,a,a,a,a,a,a,"Yeah I feel comfortable around people.","A male speaker communicates with normal pitch, addresses the listeners at usual pace, and displays typical energy"
ex01_default_00091.wav,a,a,a,a,a,a,"Yeah I feel comfortable around people.","Her voice lacks energy, but her pitch is highSpeaking rapidlyThe girl's"
ex01_happy_00091.wav,a,a,a,a,a,a,"Yeah I feel comfortable around people.","Speaking with zeal, he uses a regular pitch and infuses his words with high energy"
ex01_confused_00094.wav,a,a,a,a,a,a,"Um God you're just like him! You keep me locked away in the dark, so I can't really experience anything for myself.","The man talks with a typical pitch, speaking at a normal tempo and exuding moderate energy."
ex01_happy_00094.wav,a,a,a,a,a,a,"God you're just like him! You keep me locked away in the dark, so I can't experience anything for myself.","With fervor, the speaker delivers his message at an energetic speed and maintains a high pitch."
